DivClass,ButtonId,URL,OnClickFunction,OnClickFunctionPlayListVideoListButtonId,OnClickFunctionVideoListFolderName,OnClickFunctionVideoListFileName,ButtonLabel
Section-C2a-PlayList,PlayListButton-A,,ClickedPlayListButton,PlayListButton-A,Section-C2b-VideoList-A,,"A. Dance, warm up"
Section-C2a-PlayList,PlayListButton-B,,ClickedPlayListButton,PlayListButton-B,Section-C2b-VideoList-B,,"B. Dance, disco style"
Section-C2a-PlayList,PlayListButton-C,,ClickedPlayListButton,PlayListButton-C,Section-C2b-VideoList-C,,"C. Relax, recharge soul"
Section-C2a-PlayList,PlayListButton-D,,ClickedPlayListButton,PlayListButton-D,Section-C2b-VideoList-D,,"D. Classic, amazing voice"
Section-C2a-PlayList,PlayListButton-E,,ClickedPlayListButton,PlayListButton-E,Section-C2b-VideoList-E,,"E. Soundtrack, must stream"
Section-C2a-PlayList,PlayListButton-F,,ClickedPlayListButton,PlayListButton-F,Section-C2b-VideoList-F,,F. ???
Section-C2a-PlayList,PlayListButton-G,,ClickedPlayListButton,PlayListButton-G,Section-C2b-VideoList-G,,G. ???
Section-C2a-PlayList,PlayListButton-H,,ClickedPlayListButton,PlayListButton-H,Section-C2b-VideoList-H,,H. ???
Section-C2a-PlayList,PlayListButton-I,,ClickedPlayListButton,PlayListButton-I,Section-C2b-VideoList-I,,I. ???
Section-C2a-PlayList,PlayListButton-J,,ClickedPlayListButton,PlayListButton-J,Section-C2b-VideoList-J,,J. ???
Section-C2a-PlayList,PlayListButton-K,,ClickedPlayListButton,PlayListButton-K,Section-C2b-VideoList-K,,K. ???
Section-C2a-PlayList,PlayListButton-L,,ClickedPlayListButton,PlayListButton-L,Section-C2b-VideoList-L,,L. ???
Section-C2a-PlayList,PlayListButton-M,,ClickedPlayListButton,PlayListButton-M,Section-C2b-VideoList-M,,M. ???
Section-C2a-PlayList,PlayListButton-N,,ClickedPlayListButton,PlayListButton-N,Section-C2b-VideoList-N,,N. ???
Section-C2a-PlayList,PlayListButton-O,,ClickedPlayListButton,PlayListButton-O,Section-C2b-VideoList-O,,O. ???
Section-C2a-PlayList,PlayListButton-P,,ClickedPlayListButton,PlayListButton-P,Section-C2b-VideoList-P,,P. ???
Section-C2a-PlayList,PlayListButton-Q,,ClickedPlayListButton,PlayListButton-Q,Section-C2b-VideoList-Q,,Q. ???
Section-C2a-PlayList,PlayListButton-R,,ClickedPlayListButton,PlayListButton-R,Section-C2b-VideoList-R,,R. ???
